POS	Precision  Recall  F-Score
PRP$	  0.00	    0.00    0.00
VBG	  0.00	    0.00    0.00
FW	  0.00	    0.00    0.00
VBN	  0.00	    0.00    0.00
,	  0.00	    0.00    0.00
''	  0.00	    0.00    0.00
VBP	  0.00	    0.00    0.00
WDT	  0.00	    0.00    0.00
JJ	  0.00	    0.00    0.00
WP	  0.00	    0.00    0.00
VBZ	  0.00	    0.00    0.00
DT	  0.00	    0.00    0.00
RP	  0.00	    0.00    0.00
$	  0.00	    0.00    0.00
NN	  0.14	    1.00    0.25
VBD	  0.00	    0.00    0.00
POS	  0.00	    0.00    0.00
.	  0.00	    0.00    0.00
TO	  0.00	    0.00    0.00
HYPH	  0.00	    0.00    0.00
RB	  0.00	    0.00    0.00
-LRB-	  0.00	    0.00    0.00
:	  0.00	    0.00    0.00
NNS	  0.00	    0.00    0.00
NNP	  0.00	    0.00    0.00
``	  0.00	    0.00    0.00
WRB	  0.00	    0.00    0.00
CC	  0.00	    0.00    0.00
LS	  0.00	    0.00    0.00
PDT	  0.00	    0.00    0.00
RBS	  0.00	    0.00    0.00
RBR	  0.00	    0.00    0.00
CD	  0.00	    0.00    0.00
PRP	  0.00	    0.00    0.00
EX	  0.00	    0.00    0.00
IN	  0.00	    0.00    0.00
WP$	  0.00	    0.00    0.00
MD	  0.00	    0.00    0.00
NNPS	  0.00	    0.00    0.00
-RRB-	  0.00	    0.00    0.00
JJS	  0.00	    0.00    0.00
JJR	  0.00	    0.00    0.00
SYM	  0.00	    0.00    0.00
VB	  0.00	    0.00    0.00
UH	  0.00	    0.00    0.00
Average Precision: 0.00311002485847
Average Recall: 0.0222222222222
Average F-Score: 0.00545641792467
Overall accuracy:  0.139951118631
